Item,Last update,URL
Blog,2018-03-02T10:00:09+0000,https://odileeds.org/blog/
Web stats,2018-03-02T00:30:52+0000,https://odileeds.org/webreport/
Events,2018-03-02T10:31:04+0000,https://odileeds.org/events/
Social media stats,2018-02-01T14:37:34+0000,https://github.com/odileeds/dashboard/blob/gh-pages/data/socialmedia.csv
Search index,2018-03-02T05:10:08+0000,https://odileeds.org/search/
Flood sensors,2018-03-02T10:15Z,https://odileeds.org/projects/floodnetwork/
West Yorkshire Mapping,2018-03-02T07:07:30+0000,https://github.com/odileeds/west-yorkshire-mapping
Revenue figures,2017-12-11T11:00:08+0000,https://odileeds.org/dashboard/#revenue
Backup,2018-03-02T04:51:11+0000,
Things Mote,2018-03-01T08:59:05+0000,https://odileeds.org/projects/mote/
Things Node,2018-02-26T09:32:17.972Z,https://odileeds.org/projects/teatotal/
IoT Ranger,2018-03-01T10:30:37.931575802Z,https://odileeds.org/projects/things/map/
