Date,Visits,Hits,Files,Pages,Total kB files
2023-10,1778,11496,,5630,370869
2023-09,26862,141099,,75578,3720607
2023-08,24333,140166,,73050,3937125
2023-07,24979,129258,,74984,3759643
2023-06,25964,123458,,60568,4008699
2023-05,30052,148728,,67089,4399887
2023-04,21923,118705,,47864,3226573
2023-03,26194,147747,,56968,3904122
2023-02,22266,126535,,51894,3570607
2023-01,21232,139309,,48357,3263620
2022-12,22727,117011,,46233,3133622
2022-11,18568,135501,,50072,3813479
2022-10,17536,120393,,49160,3021292
2022-09,16117,92691,,42923,2637574
2022-08,14867,103001,,46156,2669711
2022-07,16344,109995,,48238,2895402
2022-06,16828,118141,,51011,3057176
2022-05,20238,130574,,54707,2970360
2022-04,20785,184941,,56775,3198246
2022-03,19466,135792,,56217,2894535
2022-02,15601,131018,,50478,2797552
2022-01,15311,163129,,48823,2853479
2021-12,15249,352535,,45561,2662540
2021-11,18054,166826,,54288,3738577
2021-10,15970,228427,,52550,3248770
2021-09,21614,242841,,63533,3749037
2021-08,16148,106697,,48095,3196861
2021-07,16588,123334,,54896,3569052
2021-06,18092,124790,,52176,4654208
2021-05,18095,114342,,49190,4099200
2021-04,19526,130474,,61367,5332885
2021-03,20205,366328,,67650,5618827
2021-02,32715,189257,,111929,4396878
2021-01,25207,160306,,75757,4264923
2020-12,18265,111935,,43179,4261106
2020-11,18306,118542,,47608,4542208
2020-10,20877,122170,,45826,4237558
2020-09,19496,106486,,40492,5046767
2020-08,20508,128316,,38373,7591562
2020-07,20661,220094,,44733,4654916
2020-06,29037,124486,,50913,4171157
2020-05,27447,103590,,37699,3279372
2020-04,30290,138342,,39877,3632386
2020-03,30448,164749,,55711,5169090
2020-02,31268,199696,,65748,5677807
2020-01,32289,273541,,94865,6380043
2019-12,133161,577420,,190076,12176711
2019-11,29966,205175,,60153,5231601
2019-10,27115,134730,,42482,5078538
2019-09,25770,116796,,32468,4572389
2019-08,27647,135552,,36839,4635504
2019-07,27994,167411,,33628,5380680
2019-06,29169,138297,,33114,6773388
2019-05,30415,157080,,33675,9201157
2019-04,9081,45994,,8971,2735159
2019-03,707382,3857590,,725373,90410864
2019-02,21746,106119,,20584,4874678
2019-01,21262,106558,,25226,4350448
2018-12,21367,97416,,13133,3596691
2018-11,23536,131247,,15347,4902122
2018-10,23856,121649,,13281,6299121
2018-09,23854,125323,,14452,5410703
2018-08,24002,130036,,13772,4561981
2018-07,26574,143741,,18118,5168907
2018-06,18598,135817,,16451,6126596
2018-05,27543,178339,,23718,4701019
2018-04,30867,175590,,29776,3820118
2018-03,30246,204229,,44032,3971607
2018-02,26533,143015,,33865,3355061
2018-01,29352,139816,,29382,3251457
2017-12,27645,104731,,25636,2392498
2017-11,26115,108670,,21961,2474009
2017-10,29324,148963,,24155,4927412
2017-09,21683,94455,,21337,2016325
2017-08,21636,120737,,26040,2159031
2017-07,16307,84565,,18675,1991506
2017-06,23125,153157,,24828,4150004
2017-05,18138,105793,,22912,2196823
2017-04,11885,108184,,14666,1319376
2017-03,9682,216755,,12176,1511173
2017-02,9277,87798,,11325,965955
2017-01,9849,128910,75548,21943,1333498
2016-12,9130,131476,73288,21618,1395085
2016-11,5197,138727,42680,12878,1128922
2016-10,6019,970470,54106,14060,2678068
2016-09,4862,349647,57423,16269,1415940
2016-08,4437,94084,32830,10378,994916
2016-07,2400,26276,17686,5940,432139
2016-06,150,23614,7303,2594,127938
